sample_index,timestamp,target_k,actual_temp_k,voltage_v,checkpoint_index,setpoint_readback_k,wait_s
1,2026-06-16T16:36:03,300.0,300.0473,-0.03958334,1,300.0,137.79700000000594
2,2026-06-16T16:36:03,300.0,300.0543,-0.03958343,1,300.0,137.79700000000594
3,2026-06-16T16:36:04,300.0,300.0579,-0.03958351,1,300.0,137.79700000000594
4,2026-06-16T16:36:05,300.0,300.0641,-0.0395836,1,300.0,137.79700000000594
5,2026-06-16T16:36:06,300.0,300.0632,-0.03958319,1,300.0,137.79700000000594
6,2026-06-16T16:36:07,300.0,300.0689,-0.0395833,1,300.0,137.79700000000594
7,2026-06-16T16:36:08,300.0,300.0716,-0.03958298,1,300.0,137.79700000000594
8,2026-06-16T16:36:08,300.0,300.0769,-0.03958348,1,300.0,137.79700000000594
9,2026-06-16T16:36:09,300.0,300.0795,-0.03958359,1,300.0,137.79700000000594
10,2026-06-16T16:36:10,300.0,300.0817,-0.03958381,1,300.0,137.79700000000594
1,2026-06-16T16:42:58,301.0,301.0076,-0.0395833,2,301.0,406.54700000000594
2,2026-06-16T16:42:59,301.0,301.0072,-0.03958301,2,301.0,406.54700000000594
3,2026-06-16T16:42:59,301.0,301.0059,-0.03958306,2,301.0,406.54700000000594
4,2026-06-16T16:43:00,301.0,301.0045,-0.03958304,2,301.0,406.54700000000594
5,2026-06-16T16:43:01,301.0,301.0036,-0.03958282,2,301.0,406.54700000000594
6,2026-06-16T16:43:02,301.0,301.0019,-0.03958296,2,301.0,406.54700000000594
7,2026-06-16T16:43:02,301.0,301.0005,-0.03958301,2,301.0,406.54700000000594
8,2026-06-16T16:43:03,301.0,300.9992,-0.0395825,2,301.0,406.54700000000594
9,2026-06-16T16:43:04,301.0,300.9966,-0.03958254,2,301.0,406.54700000000594
10,2026-06-16T16:43:05,301.0,300.9948,-0.03958268,2,301.0,406.54700000000594
