Corner,In0,In1,In2,In3,In4,In5,In6,In7,cmn018_assp_v1d3_usage_298K.scs,Pass/Fail,VGS1,VGS2,Sensorout0,Sensorout1,v /VGS1; dc (V),v /VGS2; dc (V),v /SENSOROUT0; dc (V),v /SENSOROUT1; dc (V),IN_3,OUT1,OUT2,OUT3,OUT4
298K_0,0,0,0,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,469e-3,324.1e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_1,1.8,0,0,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,469.5e-3,324.6e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_2,0,1.8,0,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,470e-3,325.1e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_3,1.8,1.8,0,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,470.5e-3,325.6e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_4,0,0,1.8,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,471e-3,326.1e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_5,1.8,0,1.8,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,471.5e-3,326.6e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_6,0,1.8,1.8,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,472e-3,327.1e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_7,1.8,1.8,1.8,0,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,472.5e-3,327.6e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_8,0,0,0,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,473e-3,328.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_9,1.8,0,0,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,473.5e-3,328.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_10,0,1.8,0,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,474e-3,329.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_11,1.8,1.8,0,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,474.5e-3,329.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_12,0,0,1.8,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,475e-3,330.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_13,1.8,0,1.8,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,475.5e-3,330.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_14,0,1.8,1.8,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,476e-3,331.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_15,1.8,1.8,1.8,1.8,0,0,0,0,tt_lib,,339.9e-3,274.3e-3,476.5e-3,331.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_16,0,0,0,0,1.8,0,0,0,tt_lib,,339.9e-3,274.3e-3,477e-3,332.2e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_17,1.8,0,0,0,1.8,0,0,0,tt_lib,,339.9e-3,274.3e-3,477.5e-3,332.7e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
