wall_time_iso,elapsed_s,trim,command_ascii,stm32_response,voltage_mean_v,voltage_std_v,voltage_samples_v
2026-06-23T17:35:53,1.984,0,Trim:0\r\n,"mode:Trim
setting:0


=== New Setting Received ===
Mode: Trim
Setting string: '0'
16-bit value: 0 (0x0000)
Binary: 0000 0000 0000 0000

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  0
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  0
R3_IN0 (Bit 0):  0
================================",-0.14481276,0.00175812610697,-0.1424923;-0.1440797;-0.1468407;-0.1462752;-0.1443759
2026-06-23T17:35:54,3.719,1,Trim:1\r\n,"mode:Trim
setting:1",0.43727022,0.000558223948788,0.4367578;0.4369045;0.4369348;0.4378519;0.4379021
2026-06-23T17:35:56,5.438,2,Trim:2\r\n,"mode:Trim
setting:2",0.43766312,0.000500744947054,0.4372911;0.4372095;0.4374429;0.438008;0.4383641
2026-06-23T17:35:58,7.188,3,Trim:3\r\n,"mode:Trim
setting:3",0.43904776,0.000554305342749,0.4384902;0.4384627;0.4391225;0.4395754;0.439588
2026-06-23T17:36:00,8.906,4,Trim:4\r\n,"mode:Trim
setting:4",0.43883484,0.00054846976945,0.4381942;0.4382778;0.4391798;0.4392614;0.439261
2026-06-23T17:36:01,10.641,5,Trim:5\r\n,"mode:Trim
setting:5",0.44016424,0.00047536862854,0.4396738;0.4404906;0.4404564;0.4405815;0.4396189
2026-06-23T17:36:03,12.375,6,Trim:6\r\n,"mode:Trim
setting:6",0.44054342,0.000417572714626,0.4401498;0.4407788;0.4408694;0.4408878;0.4400313
2026-06-23T17:36:05,14.109,7,Trim:7\r\n,"mode:Trim
setting:7",0.4414268,0.000577061318232,0.4418398;0.4419013;0.4417974;0.4407364;0.4408591
2026-06-23T17:36:06,15.828,8,Trim:8\r\n,"mode:Trim
setting:8",0.4406532,0.000541251572746,0.4403954;0.4412049;0.4412716;0.4401623;0.4402318
2026-06-23T17:36:08,17.578,9,Trim:9\r\n,"mode:Trim
setting:9",0.44210342,0.000591169888442,0.4425221;0.4425805;0.4424894;0.4415735;0.4413516
2026-06-23T17:36:10,19.297,10,Trim:10\r\n,"mode:Trim
setting:10",0.44247734,0.000480948305954,0.4429478;0.4430381;0.4422849;0.4420399;0.442076
2026-06-23T17:36:12,21.031,11,Trim:11\r\n,"mode:Trim
setting:11",0.44314748,0.000517577508205,0.4437883;0.4436256;0.4426794;0.4428484;0.4427957
2026-06-23T17:36:13,22.766,12,Trim:12\r\n,"mode:Trim
setting:12",0.44315104,0.000493419611487,0.4440154;0.4427757;0.443052;0.4429571;0.442955
2026-06-23T17:36:15,24.500,13,Trim:13\r\n,"mode:Trim
setting:13


=== New Setting Received ===
Mode: Trim
Setting string: '13'
16-bit value: 13 (0x000D)
Binary: 0000 0000 0000 1101

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bi",0.4438915,0.00045083442637,0.4446849;0.4437064;0.443611;0.4436358;0.4438194
2026-06-23T17:36:17,26.234,14,Trim:14\r\n,"mode:Trim
setting:14",0.44389678,0.000372571774293,0.443673;0.4437433;0.4437049;0.4438053;0.4445574
2026-06-23T17:36:19,27.953,15,Trim:15\r\n,"mode:Trim
setting:15",0.4446359,0.000432130576331,0.4444857;0.4443871;0.4443646;0.4445443;0.4453978
2026-06-23T17:36:20,29.688,16,Trim:16\r\n,"mode:Trim
setting:16


=== New Setting Received ===
Mode: Trim
Setting string: '16'
16-bit value: 16 (0x0010)
Binary: 0000 0000 0001 0000

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  1
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  0
R3_IN0 (Bit 0):  0
================================",0.44392324,0.000405212367778,0.4438296;0.4437656;0.4435425;0.4438661;0.4446124
2026-06-23T17:36:22,31.422,17,Trim:17\r\n,"mode:Trim
setting:17",0.44529456,0.000425849906657,0.4449403;0.4449867;0.4450294;0.4457088;0.4458076
2026-06-23T17:36:24,33.156,18,Trim:18\r\n,"mode:Trim
setting:18",0.44585808,0.000519587674989,0.4454283;0.4454557;0.445557;0.4464405;0.4464089
2026-06-23T17:36:26,34.891,19,Trim:19\r\n,"mode:Trim
setting:19


=== New Setting Received ===
Mode: Trim
Setting string: '19'
16-bit value: 19 (0x0013)
Binary: 0000 0000 0001 0011

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  1
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  1
R3_IN0 (Bit 0):  1
================================",0.44656956,0.000555483521808,0.446062;0.4461199;0.4464027;0.446892;0.4473712
2026-06-23T17:36:27,36.625,20,Trim:20\r\n,"mode:Trim
setting:20",0.44709684,0.000507983860964,0.4464342;0.4466646;0.4475077;0.4473969;0.4474808
2026-06-23T17:36:29,38.344,21,Trim:21\r\n,"mode:Trim
setting:21",0.44757732,0.000442720664754,0.447152;0.4472325;0.447796;0.4482301;0.447476
2026-06-23T17:36:31,40.078,22,Trim:22\r\n,"mode:Trim
setting:22


=== New Setting Received ===
Mode: Trim
Setting string: '22'
16-bit value: 22 (0x0016)
Binary: 0000 0000 0001 0110

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  1
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  1
R3_IN1 (Bit 1):  1
R3_IN0 (Bit 0):  0
================================",0.44810728,0.000543607631477,0.4476828;0.4482595;0.4485733;0.4486198;0.447401
2026-06-23T17:36:32,41.813,23,Trim:23\r\n,"mode:Trim
setting:23",0.44892686,0.000474284954431,0.448463;0.449213;0.4493063;0.4492942;0.4483578
2026-06-23T17:36:34,43.547,24,Trim:24\r\n,"mode:Trim
setting:24",0.44887518,0.000604490551622,0.4492894;0.4493385;0.4493201;0.4482526;0.4481753
2026-06-23T17:36:36,45.281,25,Trim:25\r\n,"mode:Trim
setting:25",0.44948106,0.000468835230118,0.4497918;0.4500548;0.4495399;0.4490599;0.4489589
2026-06-23T17:36:38,47.000,26,Trim:26\r\n,"mode:Trim
setting:26",0.4499922,0.000498181789109,0.4505633;0.4505118;0.4496238;0.4496345;0.4496276
2026-06-23T17:36:39,48.734,27,Trim:27\r\n,"mode:Trim
setting:27",0.450412,0.000360744805922,0.4510216;0.4504637;0.4501736;0.4502022;0.4501989
2026-06-23T17:36:41,50.469,28,Trim:28\r\n,"mode:Trim
setting:28",0.4509374,0.000515224620918,0.4514347;0.4515638;0.4505783;0.4505761;0.4505341
2026-06-23T17:36:43,52.188,29,Trim:29\r\n,"mode:Trim
setting:29",0.45143848,0.00041022692135,0.4521683;0.4513199;0.4511994;0.4512482;0.4512566
2026-06-23T17:36:45,53.938,30,Trim:30\r\n,"mode:Trim
setting:30",0.4518103,0.000518605119527,0.4527246;0.4514956;0.4515323;0.4515726;0.4517264
2026-06-23T17:36:46,55.672,31,Trim:31\r\n,"mode:Trim
setting:31",0.45239614,0.000256792723807,0.4522601;0.4523188;0.4523148;0.4522359;0.4528511
2026-06-23T17:36:48,57.406,32,Trim:32\r\n,"mode:Trim
setting:32


=== New Setting Received ===
Mode: Trim
Setting string: '32'
16-bit value: 32 (0x0020)
Binary: 0000 0000 0010 0000

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LD",0.45140158,0.000502038879968,0.4512986;0.4510641;0.4511264;0.4512341;0.4522847
2026-06-23T17:36:50,59.125,33,Trim:33\r\n,"mode:Trim
setting:33",0.45282844,0.000557808464439,0.4524647;0.4523182;0.4525132;0.4532723;0.4535738
2026-06-23T17:36:52,60.859,34,Trim:34\r\n,"mode:Trim
setting:34",0.45294166,0.000401796326514,0.4526229;0.4526058;0.4527626;0.4535194;0.4531976
2026-06-23T17:36:53,62.594,35,Trim:35\r\n,"mode:Trim
setting:35


=== New Setting Received ===
Mode: Trim
Setting string: '35'
16-bit value: 35 (0x0023)
Binary: 0000 0000 0010 0011

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  1
R2_IN0 (Bit 4):  0
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  1
R3_IN0 (Bit 0):  1
================================",0.45387954,0.000517954711341,0.4534283;0.4535849;0.4534986;0.4544062;0.4544797
2026-06-23T17:36:55,64.328,36,Trim:36\r\n,"mode:Trim
setting:36",0.4541132,0.000471644680877,0.4535284;0.453735;0.4541823;0.4545449;0.4545754
2026-06-23T17:36:57,66.047,37,Trim:37\r\n,"mode:Trim
setting:37",0.45485146,0.000583648976697,0.4542095;0.4548034;0.4554444;0.455444;0.454356
