wall_time_iso,elapsed_s,trim,command_ascii,stm32_response,voltage_mean_v,voltage_std_v,voltage_samples_v
2026-06-24T17:44:38,47.656,1,Trim:1\r\n,"mode:Trim
setting:1",0.300894086,0.000653334,0.302299;0.3014945;0.3025908;0.3014333;0.3026837;0.3012218;0.3023696;0.3003686;0.300426;0.3006023;0.3002339;0.3009755;0.3002783;0.3012518;0.3002944;0.3015279;0.3002576;0.3013985;0.3001561;0.3009227;0.3006905;0.3006313;0.3010166;0.3004225;0.3012673;0.3004188;0.3015027;0.3003852;0.3015527;0.300473;0.3012093;0.3005863;0.3008903;0.3009203;0.3011619;0.3007863;0.3006521;0.301277;0.3005345;0.3015272;0.3004771;0.3016649;0.3005669;0.3016296;0.3006243;0.3013656;0.300724;0.3008519;0.3011017;0.3007298;0.3014844;0.3004998;0.3017043;0.3006985;0.3017896;0.3006719;0.3016485;0.3006718;0.3011819;0.3008445;0.3008326;0.3012886;0.3006511;0.3016192;0.3007814;0.3011032;0.3001577;0.3011395;0.298682;0.2980228;0.3003552;0.3007936;0.300649;0.3008538;0.3005974;0.300373;0.301101;0.3004342;0.3012005;0.3003074;0.3014905;0.3003256;0.3015041;0.30033;0.3011193;0.3005867;0.3004933;0.3009158;0.3004771;0.3011758;0.3003037;0.3015494;0.3003161;0.301547;0.3003299;0.3014532;0.3005087;0.3008558;0.3008454;0.3007149
2026-06-24T17:45:25,95.062,2,Trim:2\r\n,"mode:Trim
setting:2",0.300936576,0.000469752,0.3004114;0.3015257;0.3004639;0.3016003;0.3004391;0.3015954;0.3005601;0.3016158;0.3006261;0.3013224;0.3007622;0.300935;0.3010685;0.300524;0.3012886;0.3006117;0.3016516;0.3006599;0.3017751;0.3004835;0.3016301;0.3007439;0.3011413;0.3008593;0.300784;0.3012995;0.300642;0.3016884;0.3005839;0.3017799;0.3006099;0.3017674;0.3007356;0.3015028;0.3007656;0.3009536;0.3007141;0.3007006;0.3016563;0.3008152;0.3017795;0.3006706;0.3012695;0.300231;0.3012605;0.3003318;0.3012162;0.3002551;0.3009644;0.3004205;0.3006639;0.3008245;0.3002922;0.301199;0.3002535;0.3014234;0.3002921;0.3013388;0.3003801;0.3011829;0.3004382;0.3009173;0.3005922;0.300462;0.3011183;0.3003482;0.3015208;0.3003378;0.3013071;0.3003936;0.3013339;0.3004173;0.3012088;0.3004408;0.3006955;0.3009653;0.300314;0.3013891;0.300488;0.3015085;0.3004674;0.30163;0.3005193;0.3011728;0.3004431;0.3015856;0.3006316;0.3011245;0.3008075;0.3008882;0.3012065;0.3005785;0.3014795;0.3006723;0.3016832;0.300517;0.3018014;0.3007043;0.3013738;0.3006312
2026-06-24T17:46:13,142.469,3,Trim:3\r\n,"mode:Trim
setting:3",0.301253544,0.000573914,0.3016264;0.3009468;0.3018743;0.3010124;0.3021032;0.3010754;0.302174;0.3011314;0.3019671;0.301018;0.3015246;0.3015255;0.3012476;0.30181;0.3011321;0.3015457;0.3005223;0.30152;0.3005319;0.3016863;0.3004364;0.3016942;0.3006279;0.3015346;0.3005623;0.3008552;0.3009785;0.300351;0.3013436;0.3006254;0.3016776;0.3006147;0.3018265;0.3007129;0.3018055;0.3007321;0.3012745;0.3009762;0.3008796;0.301327;0.3007607;0.3016098;0.3007753;0.3017809;0.3006936;0.3018904;0.3008591;0.3014938;0.300897;0.3012238;0.3013123;0.3009815;0.3014479;0.3008994;0.3019659;0.300677;0.302047;0.3009183;0.302023;0.3009864;0.3021102;0.3009477;0.3017994;0.3009349;0.3013827;0.2984887;0.3008293;0.3019161;0.3008661;0.3020468;0.3010101;0.3020495;0.300997;0.3020768;0.3009046;0.3015702;0.3013722;0.3012189;0.3018294;0.3007719;0.3020031;0.3011048;0.3019875;0.3010187;0.3022117;0.3010926;0.3019158;0.3012536;0.301502;0.3016417;0.3010565;0.3015299;0.300468;0.301481;0.3005487;0.3015546;0.3002808;0.3014476;0.3005681;0.3015114
2026-06-24T17:47:00,189.875,4,Trim:4\r\n,"mode:Trim
setting:4",0.301082416,0.000479377,0.3008308;0.3007702;0.3005228;0.3010436;0.3003968;0.3014087;0.3004615;0.3014301;0.300312;0.3015582;0.3005151;0.3012484;0.3007027;0.3010251;0.3010495;0.3005218;0.301331;0.3006225;0.3013555;0.3006269;0.3017012;0.3005874;0.3016131;0.3007247;0.3014467;0.3009547;0.3005562;0.301339;0.300783;0.3016759;0.3007114;0.3018937;0.3007487;0.3017074;0.3007321;0.301751;0.3003561;0.3014785;0.3008784;0.301313;0.3011964;0.3010895;0.3014505;0.300802;0.301832;0.3008876;0.3020326;0.3009119;0.3018994;0.3009077;0.3016689;0.3011256;0.301406;0.3012952;0.3009816;0.3019124;0.3008364;0.3020317;0.3009454;0.3020856;0.3010346;0.3018518;0.3010586;0.3009405;0.3006979;0.3004565;0.3012057;0.3002744;0.3015356;0.3004368;0.3014499;0.3004855;0.3015336;0.3004947;0.3016029;0.3003687;0.3012935;0.3005614;0.3008643;0.3009837;0.3006695;0.3012465;0.300591;0.3016179;0.3005435;0.3017023;0.3005286;0.3016896;0.3006363;0.3011982;0.3009352;0.3007776;0.3011526;0.3007065;0.3015278;0.3006802;0.3017366;0.3006448;0.3017759;0.3007666
2026-06-24T17:47:48,237.281,5,Trim:5\r\n,"mode:Trim
setting:5",0.301444813,0.0005913,0.3010865;0.3012654;0.3016269;0.3008861;0.3016266;0.3011531;0.301879;0.3010693;0.302168;0.3011032;0.3021602;0.3009363;0.3020623;0.3011357;0.3018317;0.3013325;0.3014578;0.3017331;0.3011437;0.3020227;0.3010768;0.3022066;0.301084;0.3023689;0.301169;0.3021583;0.3012874;0.3015875;0.3016644;0.3011937;0.3017491;0.3011264;0.3022789;0.3012015;0.3023589;0.3012569;0.3024107;0.3013187;0.3018268;0.301085;0.3011262;0.3014424;0.3009207;0.30184;0.300926;0.3016621;0.3008875;0.3020474;0.3009844;0.3020107;0.3011039;0.3019364;0.3009957;0.3017412;0.3013147;0.3013143;0.3016831;0.3008995;0.3020835;0.3011074;0.3020955;0.2983005;0.2995445;0.3011195;0.3019849;0.3010713;0.3014707;0.3015968;0.3011513;0.3020316;0.3011891;0.3022622;0.3012156;0.3021929;0.3012013;0.3022528;0.3010769;0.3018257;0.3014912;0.3013101;0.3018077;0.3012354;0.3021443;0.3011984;0.3019239;0.3013097;0.3024105;0.3012222;0.3018334;0.3007164;0.3016344;0.3007903;0.3012976;0.3009528;0.3010071;0.3013442;0.3007627;0.301792;0.3007793;0.3018179
2026-06-24T17:48:35,284.687,6,Trim:6\r\n,"mode:Trim
setting:6


=== New Setting Received ===
Mode: Trim
Setting string: '6'
16-bit value: 6 (0x0006)
Binary: 0000 0000 0000 0110

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  0
R3_IN3 (Bit 3):  0
R3_IN2 (Bit 2):  1
R3_IN1 (Bit 1):  1
R3_IN0 (Bit 0):  0
================================",0.30276209,0.001109508,0.301701;0.300446;0.3011846;0.3010781;0.3010101;0.3012786;0.3018085;0.3039311;0.3032367;0.3040345;0.3031764;0.3043026;0.3031082;0.3039023;0.3033126;0.3036917;0.3035925;0.3036951;0.3035278;0.3033644;0.3038057;0.3032614;0.3042168;0.3032434;0.3044084;0.3031825;0.3043735;0.3032535;0.3039795;0.3034032;0.3036585;0.3037385;0.3033059;0.3038737;0.3011373;0.3020653;0.3008095;0.3020156;0.3007713;0.3018252;0.301042;0.3014699;0.3013558;0.3012447;0.3015619;0.301059;0.3020371;0.3009509;0.3021154;0.3010563;0.3021637;0.3011269;0.3017572;0.3013039;0.3015762;0.3015012;0.3017378;0.301562;0.3011104;0.3019589;0.3011682;0.3021326;0.3016346;0.3042424;0.3033827;0.3045213;0.3032763;0.3039387;0.3033974;0.3035342;0.3037501;0.3032113;0.3039896;0.3031824;0.3035846;0.301363;0.3040449;0.30276;0.3037805;0.3027535;0.3035183;0.3032362;0.3030707;0.3035523;0.3029402;0.3038365;0.3028658;0.3040376;0.3028044;0.3041361;0.3029191;0.3037004;0.3031921;0.3032259;0.3034861;0.30349;0.3033163;0.3031051;0.3037115;0.3030134
2026-06-24T17:49:22,332.094,7,Trim:7\r\n,"mode:Trim
setting:7",0.303984745,0.000648952,0.3030575;0.3046982;0.3037497;0.3044389;0.3035735;0.3043457;0.3039722;0.3036214;0.3043747;0.303706;0.3047075;0.3037016;0.3047741;0.3036587;0.3046716;0.3035913;0.3045084;0.3038328;0.3039556;0.304291;0.3037884;0.304731;0.3036904;0.3047794;0.3038593;0.3049911;0.3038714;0.3047366;0.3034334;0.3049884;0.3039967;0.3044104;0.3040957;0.3043146;0.3042959;0.3038947;0.3047955;0.303917;0.3049731;0.3038841;0.3044634;0.3034694;0.3041242;0.3032675;0.3023961;0.303315;0.3031441;0.3036998;0.3030339;0.303976;0.3031017;0.3042439;0.3031712;0.3039928;0.3031714;0.3039385;0.3032948;0.3033583;0.3007554;0.3032849;0.3041815;0.3032457;0.3042591;0.3032739;0.3044688;0.3031591;0.3043953;0.3034766;0.3045224;0.3033892;0.3040914;0.3037676;0.303837;0.3039349;0.3032755;0.3044072;0.3036603;0.3047354;0.3038168;0.3050212;0.3037802;0.3046424;0.3039671;0.3043628;0.3043015;0.3038071;0.3046646;0.3038526;0.3048846;0.3038264;0.3050163;0.3038578;0.3048611;0.3038242;0.3045953;0.3041077;0.3039552;0.3045882;0.3039414;0.3048393
2026-06-24T17:50:10,379.484,8,Trim:8\r\n,"mode:Trim
setting:8",0.304467904,0.001255967,0.3041311;0.3030024;0.3040624;0.302933;0.3040755;0.3030063;0.3039732;0.3030944;0.3034976;0.3035949;0.3029186;0.3038617;0.3030339;0.3040485;0.3030247;0.3039239;0.3027581;0.3040015;0.3028301;0.3034743;0.3031822;0.3030709;0.3035637;0.30289;0.3039285;0.303014;0.3039681;0.3028299;0.3041396;0.3029132;0.3038045;0.3031605;0.3033831;0.3035138;0.3031133;0.3037159;0.3029993;0.3038915;0.3017941;0.3042978;0.3031002;0.304261;0.303221;0.3043284;0.3031681;0.3039887;0.303172;0.3035787;0.3036001;0.3032341;0.3039653;0.3017568;0.3030692;0.3051599;0.3066094;0.3052352;0.3063785;0.3055255;0.306163;0.3053236;0.3054777;0.3062042;0.3056122;0.3065755;0.3055346;0.30582;0.3056475;0.3067301;0.3055728;0.3063921;0.3058341;0.3052557;0.3053211;0.305195;0.305795;0.3049488;0.3059947;0.3049641;0.3060762;0.3043414;0.3058584;0.3050423;0.3061313;0.3050007;0.3060555;0.3053606;0.3056908;0.3045735;0.3049046;0.3061882;0.3053198;0.3059476;0.3053548;0.3064074;0.3054377;0.3063999;0.3054212;0.3059654;0.3057642;0.305415
2026-06-24T17:50:57,426.89,9,Trim:9\r\n,"mode:Trim
setting:9


=== New Setting Received ===
Mode: Trim
Setting string: '9'
16-bit value: 9 (0x0009)
Binary: 0000 0000 0000 1001

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  0
R3_IN3 (Bit 3):  1
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  0
R3_IN0 (Bit 0):  1
================================",0.304729955,0.001281684,0.3054441;0.305636;0.3028321;0.3044731;0.303471;0.3043577;0.303526;0.3041957;0.303619;0.3036332;0.304037;0.3034372;0.3044791;0.3034105;0.304616;0.3035451;0.3045971;0.3034935;0.3045723;0.3035678;0.30457;0.3035302;0.3041301;0.3039136;0.3038335;0.3040821;0.3035608;0.3046438;0.3036746;0.3045513;0.3036551;0.3048005;0.3036544;0.3044534;0.3038245;0.3040933;0.3040019;0.303493;0.3044717;0.3036422;0.3040218;0.303063;0.3041968;0.3030053;0.3040188;0.3030384;0.3038099;0.3033853;0.3032166;0.3037907;0.3030789;0.3041079;0.303126;0.3041396;0.3000579;0.3041963;0.3029526;0.3041649;0.3031233;0.3062653;0.3054156;0.3058599;0.3059404;0.3057948;0.3060847;0.3055987;0.3066364;0.3055979;0.3066943;0.3053742;0.3065836;0.3056538;0.3061885;0.3057317;0.3059583;0.3060099;0.3056261;0.3061904;0.3055922;0.3064373;0.3054932;0.3065832;0.3057123;0.3065061;0.3056574;0.3062269;0.3059014;0.3054705;0.3062078;0.3056735;0.3066596;0.3055967;0.3067242;0.3053804;0.3067427;0.305652;0.3063656;0.3047778;0.3075729;0.3068398
2026-06-24T17:54:29,639.156,10,Trim:10\r\n,"mode:Trim
setting:10


=== New Setting Received ===
Mode: Trim
Setting string: '10'
16-bit value: 10 (0x000A)
Binary: 0000 0000 0000 1010

Bit Allocation:
LDO3   (Bit 15): 0
LDO2   (Bit 14): 0
LDO1   (Bit 13): 0
LDO0   (Bit 12): 0
R1_IN3 (Bit 11): 0
R1_IN2 (Bit 10): 0
R1_IN1 (Bit 9):  0
R1_IN0 (Bit 8):  0
R2_IN3 (Bit 7):  0
R2_IN2 (Bit 6):  0
R2_IN1 (Bit 5):  0
R2_IN0 (Bit 4):  0
R3_IN3 (Bit 3):  1
R3_IN2 (Bit 2):  0
R3_IN1 (Bit 1):  1
R3_IN0 (Bit 0):  0
================================",0.305311047,0.001084859,0.3044351;0.3032526;0.3040832;0.3034943;0.3036478;0.3041477;0.3040114;0.3048971;0.3039639;0.3043912;0.3032464;0.3044902;0.3033568;0.3043648;0.3025314;0.3044206;0.3034455;0.3040139;0.3035304;0.3036557;0.3054338;0.3056567;0.3064812;0.3055496;0.3064548;0.3054815;0.3067607;0.3057443;0.3065677;0.3058173;0.3062843;0.3062204;0.3058591;0.3064264;0.3057981;0.3067744;0.3057793;0.3061809;0.3052121;0.3063974;0.3054062;0.30593;0.3054816;0.305614;0.3058324;0.3053264;0.3061939;0.3053664;0.3064082;0.3053253;0.306526;0.3053953;0.3064188;0.3054232;0.3063722;0.3053909;0.3061095;0.3054153;0.3057227;0.3060676;0.3053838;0.3064028;0.3054583;0.3065283;0.3055087;0.3065144;0.3055795;0.3064874;0.3055157;0.3060169;0.3060774;0.3055811;0.3064249;0.3055604;0.3066267;0.3055409;0.3065638;0.3056322;0.3067095;0.305606;0.3062728;0.3058974;0.3058261;0.3062914;0.3055779;0.3066456;0.3056523;0.306649;0.3056536;0.3052646;0.3033246;0.3044568;0.3028972;0.3039786;0.3033335;0.3041036;0.3038776;0.3038066;0.3042625;0.3036284
